sexo,cpro,grupo_edad,poblacion_total,poblacion_agregada,porcentaje
Mujeres,11,80+,33.614999999999995,603.344,5.571448460579701
Hombres,12,0-9,22.527,245.92499999999998,9.160109789569992
Hombres,12,10-19,26.775,245.92499999999998,10.887465690759377
Hombres,12,20-29,23.896,245.92499999999998,9.716783572227305
Hombres,12,30-39,28.398,245.92499999999998,11.547422994815493
Hombres,12,40-49,41.47,245.92499999999998,16.862864694520688
Hombres,12,50-59,38.513999999999996,245.92499999999998,15.66087221713937
Hombres,12,60-69,29.607999999999997,245.92499999999998,12.039442919589305
Hombres,12,70-79,21.858,245.92499999999998,8.888075632814884
Hombres,12,80+,12.878999999999998,245.92499999999998,5.236962488563586
Mujeres,12,0-9,21.004,248.55200000000002,8.45054555988284
Mujeres,12,10-19,25.372,248.55200000000002,10.2079242975313
Mujeres,12,20-29,22.490000000000002,248.55200000000002,9.048408381344748
Mujeres,12,30-39,26.473,248.55200000000002,10.650889954617142
Mujeres,12,40-49,39.196,248.55200000000002,15.769738324374776
Mujeres,12,50-59,37.674,248.55200000000002,15.157391612217966
Mujeres,12,60-69,30.761,248.55200000000002,12.376082268499147
Mujeres,12,70-79,25.253,248.55200000000002,10.160046992178698
Mujeres,12,80+,20.329,248.55200000000002,8.178972609353375
Hombres,13,0-9,20.134,228.12199999999999,8.825979081368741
Hombres,13,10-19,24.658,228.12199999999999,10.809128448812478
Hombres,13,20-29,25.625,228.12199999999999,11.233024434293931
Hombres,13,30-39,28.326,228.12199999999999,12.417040004909655
Hombres,13,40-49,34.418,228.12199999999999,15.087540877249895
Hombres,13,50-59,36.852999999999994,228.12199999999999,16.15495217471353
Hombres,13,60-69,27.308,228.12199999999999,11.9707875610419
Hombres,13,70-79,18.188,228.12199999999999,7.972926767256118
Hombres,13,80+,12.612,228.12199999999999,5.5286206503537585
Mujeres,13,0-9,19.093,232.92999999999998,8.196883183789122
Mujeres,13,10-19,23.000999999999998,232.92999999999998,9.874640449920577
Mujeres,13,20-29,23.790999999999997,232.92999999999998,10.213798136779289
Mujeres,13,30-39,26.087,232.92999999999998,11.199501996307905
Mujeres,13,40-49,33.424,232.92999999999998,14.349375348817242
Mujeres,13,50-59,36.254999999999995,232.92999999999998,15.564761945648906
Mujeres,13,60-69,28.167,232.92999999999998,12.092474133859959
Mujeres,13,70-79,22.268,232.92999999999998,9.559953634139012
Mujeres,13,80+,20.844,232.92999999999998,8.94861117073799
Hombres,14,0-9,34.487,371.384,9.286075867565646
Hombres,14,10-19,41.974000000000004,371.384,11.30204855351873
Hombres,14,20-29,42.744,371.384,11.509381125735088
Hombres,14,30-39,47.168,371.384,12.700600995196346
Hombres,14,40-49,56.595,371.384,15.238944057902332
Hombres,14,50-59,58.652,371.384,15.79281821510889
Hombres,14,60-69,43.714,371.384,11.770566314111539
Hombres,14,70-79,28.065,371.384,7.556868362665058
Hombres,14,80+,17.985,371.384,4.842696508196368
Mujeres,14,0-9,32.697,385.483,8.482086110152718
Mujeres,14,10-19,39.652,385.483,10.286316128078282
Mujeres,14,20-29,39.923,385.483,10.356617542148422
Mujeres,14,30-39,44.946,385.483,11.659658143160657
Mujeres,14,40-49,55.982,385.483,14.522560009131402
Mujeres,14,50-59,59.935,385.483,15.548026761232014
Mujeres,14,60-69,46.021,385.483,11.938529066132618
Mujeres,14,70-79,35.058,385.483,9.094564481442761
Mujeres,14,80+,31.269000000000002,385.483,8.111641758521127
Hombres,15,0-9,41.432,517.277,8.009635069798193
Hombres,15,10-19,47.147,517.277,9.114458984257949
Hombres,15,20-29,43.965,517.277,8.499314680529
Hombres,15,30-39,60.974999999999994,517.277,11.787688221204498
Hombres,15,40-49,88.8,517.277,17.166817778482322
Hombres,15,50-59,80.381,517.277,15.539256529866977
Hombres,15,60-69,68.05199999999999,517.277,13.155814002942329
Hombres,15,70-79,53.388000000000005,517.277,10.320969229252412
Hombres,15,80+,33.137,517.277,6.406045503666313
Mujeres,15,0-9,38.801,559.404,6.936132026227915
Mujeres,15,10-19,44.549,559.404,7.963654174800324
Mujeres,15,20-29,41.922,559.404,7.494047235986871
Mujeres,15,30-39,60.319,559.404,10.78272590113764
Mujeres,15,40-49,89.871,559.404,16.065491129845334
Mujeres,15,50-59,85.18,559.404,15.22692007922718
Mujeres,15,60-69,74.884,559.404,13.386389800573467
Mujeres,15,70-79,65.586,559.404,11.724263680631529
Mujeres,15,80+,58.291999999999994,559.404,10.420375971569742
Hombres,16,0-9,6.311999999999999,86.333,7.311225139865404
Hombres,16,10-19,8.296,86.333,9.609303510824367
Hombres,16,20-29,8.769,86.333,10.157182074062062
Hombres,16,30-39,9.541,86.333,11.051394020826336
Hombres,16,40-49,12.243000000000002,86.333,14.181135834501294
Hombres,16,50-59,14.821,86.333,17.16724774999131
Hombres,16,60-69,11.335999999999999,86.333,13.130552627616321
Hombres,16,70-79,8.009,86.333,9.276869794864073
Hombres,16,80+,7.006,86.333,8.115089247448832
Mujeres,16,0-9,6.029,85.646,7.039441421665928
Mujeres,16,10-19,8.013,85.646,9.355953576349158
Mujeres,16,20-29,8.161,85.646,9.528757910468673
Mujeres,16,30-39,8.449,85.646,9.865025803890433
Mujeres,16,40-49,11.358,85.646,13.261565046820634
Mujeres,16,50-59,13.734,85.646,16.03577516755015
Mujeres,16,60-69,10.611,85.646,12.389370198257946
Mujeres,16,70-79,9.151,85.646,10.68467879410597
Mujeres,16,80+,10.14,85.646,11.839432080891111
Hombres,17,0-9,30.348000000000003,307.68899999999996,9.863206029464818
Hombres,17,10-19,35.608,307.68899999999996,11.572724406787373
Hombres,17,20-29,30.288,307.68899999999996,9.843705819837565
Hombres,17,30-39,33.897999999999996,307.68899999999996,11.016968432410648
Hombres,17,40-49,50.998999999999995,307.68899999999996,16.57485317967168
Hombres,17,50-59,47.581,307.68899999999996,15.46399123790581
Hombres,17,60-69,38.065,307.68899999999996,12.371257991023404
Hombres,17,70-79,25.974000000000004,307.68899999999996,8.44164074763804
Hombres,17,80+,14.928,307.68899999999996,4.85165215526067
Mujeres,17,0-9,28.442,311.528,9.129837446393262
Mujeres,17,10-19,33.263999999999996,311.528,10.67769189286356
Mujeres,17,20-29,27.992,311.528,8.985388151305822
Mujeres,17,30-39,33.308,311.528,10.691815823938779
Mujeres,17,40-49,48.907000000000004,311.528,15.699070388536503
Mujeres,17,50-59,46.391,311.528,14.891438329780948
Mujeres,17,60-69,39.016000000000005,311.528,12.524074882514574
Mujeres,17,70-79,29.146,311.528,9.355820343596722
Mujeres,17,80+,25.061999999999998,311.528,8.044862741069823
Hombres,18,0-9,40.961,422.471,9.695576737811589
Hombres,18,10-19,50.756,422.471,12.014079072883108
Hombres,18,20-29,48.254000000000005,422.471,11.42184907366423
Hombres,18,30-39,53.43299999999999,422.471,12.64773203367805
Hombres,18,40-49,66.327,422.471,15.699775842602214
Hombres,18,50-59,65.108,422.471,15.411235327395254
Hombres,18,60-69,47.906,422.471,11.339476555787261
Hombres,18,70-79,30.895,422.471,7.312927987956569
Hombres,18,80+,18.831,422.471,4.457347368221724
Mujeres,18,0-9,38.274,433.21700000000004,8.83483335141511
Mujeres,18,10-19,47.295,433.21700000000004,10.91716160723148
Mujeres,18,20-29,45.422,433.21700000000004,10.484814769503503
Mujeres,18,30-39,51.893,433.21700000000004,11.978523465145642
Mujeres,18,40-49,64.82499999999999,433.21700000000004,14.963632544429231
Mujeres,18,50-59,66.406,433.21700000000004,15.32857667173726
Mujeres,18,60-69,50.733999999999995,433.21700000000004,11.710990104266452
Mujeres,18,70-79,37.602000000000004,433.21700000000004,8.679714784969196
Mujeres,18,80+,30.766,433.21700000000004,7.101752701302118
Hombres,19,0-9,11.076,113.798,9.733035729977681
Hombres,19,10-19,13.609,113.798,11.958909646918222
Hombres,19,20-29,10.713999999999999,113.798,9.414928206119615
Hombres,19,30-39,13.569,113.798,11.923759644281974
Hombres,19,40-49,20.426000000000002,113.798,17.949348846201165
Hombres,19,50-59,18.319,113.798,16.097822457336683
Hombres,19,60-69,12.659,113.798,11.124097084307282
Hombres,19,70-79,7.874,113.798,6.919278018945851
Hombres,19,80+,5.552,113.798,4.878820365911527
Mujeres,19,0-9,10.742999999999999,110.292,9.740507017734739
Mujeres,19,10-19,12.671999999999999,110.292,11.489500598411489
Mujeres,19,20-29,10.023,110.292,9.087694483734088
Mujeres,19,30-39,12.738,110.292,11.549341747361549
Mujeres,19,40-49,19.103,110.292,17.320385884742322
Mujeres,19,50-59,16.711,110.292,15.151597577340151
Mujeres,19,60-69,11.833000000000002,110.292,10.72879265948573
Mujeres,19,70-79,8.018,110.292,7.2697929133572705
Mujeres,19,80+,8.451,110.292,7.662387117832663
Hombres,20,0-9,29.019,325.564,8.913454804585271
Hombres,20,10-19,35.152,325.564,10.79726259660159
Hombres,20,20-29,29.566000000000003,325.564,9.08147092430367
Hombres,20,30-39,33.172,325.564,10.189087245518545
Hombres,20,40-49,53.839,325.564,16.53714784189898
Hombres,20,50-59,51.795,325.564,15.909314297649615
Hombres,20,60-69,42.846000000000004,325.564,13.160546006315194
Hombres,20,70-79,32.241,325.564,9.903121966802225
Hombres,20,80+,17.934,325.564,5.508594316324901
Mujeres,20,0-9,27.704,341.55899999999997,8.111043772818167
Mujeres,20,10-19,33.376000000000005,341.55899999999997,9.771664631879121
Mujeres,20,20-29,27.578000000000003,341.55899999999997,8.074154099291778
Mujeres,20,30-39,32.403,341.55899999999997,9.486794375203113
Mujeres,20,40-49,51.79299999999999,341.55899999999997,15.16370524565302
Mujeres,20,50-59,52.096000000000004,341.55899999999997,15.252416127228388
Mujeres,20,60-69,45.768,341.55899999999997,13.399734745680835
Mujeres,20,70-79,38.274,341.55899999999997,11.205677496420826
Mujeres,20,80+,32.56700000000001,341.55899999999997,9.534809505824764
Hombres,21,0-9,23.244,236.714,9.819444561791867
Hombres,21,10-19,28.428,236.714,12.009429100095474
Hombres,21,20-29,25.804000000000002,236.714,10.900918407867723
Hombres,21,30-39,30.284,236.714,12.793497638500467
Hombres,21,40-49,39.73,236.714,16.783967150231923
Hombres,21,50-59,36.084999999999994,236.714,15.2441342717372
Hombres,21,60-69,26.41,236.714,11.15692354486849
Hombres,21,70-79,17.781999999999996,236.714,7.512018723015959
Hombres,21,80+,8.947,236.714,3.779666601890889
Mujeres,21,0-9,22.098999999999997,240.565,9.18629060752811
Mujeres,21,10-19,26.836000000000002,240.565,11.155404984099933
Mujeres,21,20-29,24.35,240.565,10.122004447862325
Mujeres,21,30-39,29.750999999999998,240.565,12.36713570136969
Mujeres,21,40-49,38.182,240.565,15.871801799929333
Mujeres,21,50-59,35.854,240.565,14.904079978384221
Mujeres,21,60-69,27.173000000000002,240.565,11.295491862906076
Mujeres,21,70-79,20.683999999999997,240.565,8.598091991769376
Mujeres,21,80+,15.636,240.565,6.499698626150936
Hombres,22,0-9,7.927999999999999,97.006,8.172690349050574
Hombres,22,10-19,9.606,97.006,9.902480258953055
Hombres,22,20-29,8.821000000000002,97.006,9.093251963796055
Hombres,22,30-39,10.572,97.006,10.898294950827783
Hombres,22,40-49,14.956,97.006,15.417603034863822
Hombres,22,50-59,15.607,97.006,16.08869554460549
Hombres,22,60-69,13.135000000000002,97.006,13.540399562913635
Hombres,22,70-79,9.265,97.006,9.550955610993135
Hombres,22,80+,7.1160000000000005,97.006,7.335628723996454
Mujeres,22,0-9,7.683999999999999,96.13100000000001,7.993259198385534
Mujeres,22,10-19,9.004,96.13100000000001,9.366385453183675
Mujeres,22,20-29,7.997000000000001,96.13100000000001,8.31885656031873
Mujeres,22,30-39,9.328,96.13100000000001,9.703425533906854
Mujeres,22,40-49,13.702000000000002,96.13100000000001,14.253466623669784
Mujeres,22,50-59,14.652000000000001,96.13100000000001,15.241701428259352
Mujeres,22,60-69,12.715,96.13100000000001,13.226742674059356
Mujeres,22,70-79,10.068999999999999,96.13100000000001,10.474248681486719
Mujeres,22,80+,10.98,96.13100000000001,11.421913846729982
Hombres,23,0-9,26.704,303.44800000000004,8.80018981835438
Hombres,23,10-19,33.693,303.44800000000004,11.103385093986446
Hombres,23,20-29,37.307,303.44800000000004,12.294363449421317
Hombres,23,30-39,38.269000000000005,303.44800000000004,12.611386464896787
Hombres,23,40-49,45.196,303.44800000000004,14.894149903772638
Hombres,23,50-59,48.94,303.44800000000004,16.127969207244732
Hombres,23,60-69,35.873,303.44800000000004,11.821794837995304
Hombres,23,70-79,21.817999999999998,303.44800000000004,7.190029263662965
Hombres,23,80+,15.648,303.44800000000004,5.156731960665418
Mujeres,23,0-9,25.244,308.19599999999997,8.190891510597154
Mujeres,23,10-19,31.646,308.19599999999997,10.268141053096084
Mujeres,23,20-29,34.395,308.19599999999997,11.160105906630848
Mujeres,23,30-39,35.684,308.19599999999997,11.578346247193345
Mujeres,23,40-49,42.927,308.19599999999997,13.92847408791808
Mujeres,23,50-59,48.89,308.19599999999997,15.86328180768083
Mujeres,23,60-69,36.477000000000004,308.19599999999997,11.835650040883076
Mujeres,23,70-79,27.507,308.19599999999997,8.925164505704164
Mujeres,23,80+,25.426,308.19599999999997,8.249944840296434
Hombres,24,0-9,14.317,210.43500000000003,6.8035260294152575
Hombres,24,10-19,17.386000000000003,210.43500000000003,8.261933613704944
Hombres,24,20-29,17.72,210.43500000000003,8.420652458003659
Hombres,24,30-39,23.22,210.43500000000003,11.034286121605245
Hombres,24,40-49,31.607999999999997,210.43500000000003,15.02031506165799
Hombres,24,50-59,35.318,210.43500000000003,16.783329769287427
Hombres,24,60-69,31.639,210.43500000000003,15.035046451398292
Hombres,24,70-79,21.875,210.43500000000003,10.395133889324493
Hombres,24,80+,17.352,210.43500000000003,8.24577660560268
Mujeres,24,0-9,13.36,222.00699999999998,6.017828266676276
Mujeres,24,10-19,16.649,222.00699999999998,7.499313084722554
Mujeres,24,20-29,16.186999999999998,222.00699999999998,7.291211538374916
Mujeres,24,30-39,21.907,222.00699999999998,9.867706874107576
Mujeres,24,40-49,31.198999999999998,222.00699999999998,14.053160485930624
Mujeres,24,50-59,35.754,222.00699999999998,16.10489759331913
Mujeres,24,60-69,31.488999999999997,222.00699999999998,14.183786997707278
Mujeres,24,70-79,25.695,222.00699999999998,11.573959379659202
Mujeres,24,80+,29.767,222.00699999999998,13.40813577950245
Hombres,25,0-9,15.978000000000002,177.35199999999998,9.009202038883126
Hombres,25,10-19,19.326999999999998,177.35199999999998,10.897537101357752
Hombres,25,20-29,16.816000000000003,177.35199999999998,9.481708692318104
Hombres,25,30-39,18.997999999999998,177.35199999999998,10.712030312598673
Hombres,25,40-49,28.110999999999997,177.35199999999998,15.850399206098606
Hombres,25,50-59,28.376999999999995,177.35199999999998,16.000383418286795
Hombres,25,60-69,23.052,177.35199999999998,12.997879922414182
Hombres,25,70-79,15.878,177.35199999999998,8.952816996707115
Hombres,25,80+,10.814999999999998,177.35199999999998,6.098042311335648
Mujeres,25,0-9,15.297999999999998,178.564,8.567236397034115
Mujeres,25,10-19,18.019,178.564,10.091059788087184
Mujeres,25,20-29,15.711000000000002,178.564,8.798526018682379
