provincias;grupo_edad;sexo;poblacion_total
33 Asturias;De 15 a 19 años  ;Hombres;19.229
33 Asturias;De 15 a 19 años  ;Mujeres;18.142
33 Asturias;De 20 a 24 años;Hombres;18.104
33 Asturias;De 20 a 24 años;Mujeres;16.939
33 Asturias;De 25 a 29 años;Hombres;18.377
33 Asturias;De 25 a 29 años;Mujeres;17.442
33 Asturias;De 30 a 34 años;Hombres;21.820
33 Asturias;De 30 a 34 años;Mujeres;20.909
33 Asturias;De 35 a 39 años;Hombres;28.771
33 Asturias;De 35 a 39 años;Mujeres;28.677
33 Asturias;De 40 a 44 años;Hombres;38.739
33 Asturias;De 40 a 44 años;Mujeres;38.331
33 Asturias;De 45 a 49 años;Hombres;39.955
33 Asturias;De 45 a 49 años;Mujeres;40.351
33 Asturias;De 50 a 54 años;Hombres;38.401
33 Asturias;De 50 a 54 años;Mujeres;39.013
33 Asturias;De 55 a 59 años;Hombres;38.469
33 Asturias;De 55 a 59 años;Mujeres;40.728
33 Asturias;De 60 a 64 años;Hombres;37.592
33 Asturias;De 60 a 64 años;Mujeres;41.398
33 Asturias;De 65 a 69 años;Hombres;32.408
33 Asturias;De 65 a 69 años;Mujeres;36.406
33 Asturias;De 70 a 74 años  ;Hombres;28.364
33 Asturias;De 70 a 74 años  ;Mujeres;34.427
33 Asturias;De 75 a 79 años  ;Hombres;20.136
33 Asturias;De 75 a 79 años  ;Mujeres;26.355
33 Asturias;De 80 a 84 años  ;Hombres;13.794
33 Asturias;De 80 a 84 años  ;Mujeres;21.748
33 Asturias;De 85 a 89 años  ;Hombres;11.006
33 Asturias;De 85 a 89 años  ;Mujeres;20.547
33 Asturias;90 y más años;Hombres;5.035
33 Asturias;90 y más años;Mujeres;13.669
05 Ávila;De 0 a 4 años;Hombres;2.363
05 Ávila;De 0 a 4 años;Mujeres;2.196
05 Ávila;De 5 a 9 años;Hombres;2.967
05 Ávila;De 5 a 9 años;Mujeres;2.668
05 Ávila;De 10 a 14 años  ;Hombres;3.365
05 Ávila;De 10 a 14 años  ;Mujeres;3.155
05 Ávila;De 15 a 19 años  ;Hombres;3.294
05 Ávila;De 15 a 19 años  ;Mujeres;3.027
05 Ávila;De 20 a 24 años;Hombres;3.196
05 Ávila;De 20 a 24 años;Mujeres;3.021
05 Ávila;De 25 a 29 años;Hombres;3.341
05 Ávila;De 25 a 29 años;Mujeres;2.884
05 Ávila;De 30 a 34 años;Hombres;3.466
05 Ávila;De 30 a 34 años;Mujeres;3.158
05 Ávila;De 35 a 39 años;Hombres;3.938
05 Ávila;De 35 a 39 años;Mujeres;3.763
05 Ávila;De 40 a 44 años;Hombres;5.068
05 Ávila;De 40 a 44 años;Mujeres;4.798
05 Ávila;De 45 a 49 años;Hombres;5.450
05 Ávila;De 45 a 49 años;Mujeres;5.152
05 Ávila;De 50 a 54 años;Hombres;5.828
05 Ávila;De 50 a 54 años;Mujeres;5.616
05 Ávila;De 55 a 59 años;Hombres;6.368
05 Ávila;De 55 a 59 años;Mujeres;5.861
05 Ávila;De 60 a 64 años;Hombres;5.910
05 Ávila;De 60 a 64 años;Mujeres;5.197
05 Ávila;De 65 a 69 años;Hombres;4.836
05 Ávila;De 65 a 69 años;Mujeres;4.220
05 Ávila;De 70 a 74 años  ;Hombres;4.195
05 Ávila;De 70 a 74 años  ;Mujeres;4.214
05 Ávila;De 75 a 79 años  ;Hombres;3.408
05 Ávila;De 75 a 79 años  ;Mujeres;3.869
05 Ávila;De 80 a 84 años  ;Hombres;2.650
05 Ávila;De 80 a 84 años  ;Mujeres;3.415
05 Ávila;De 85 a 89 años  ;Hombres;2.225
05 Ávila;De 85 a 89 años  ;Mujeres;3.296
05 Ávila;90 y más años;Hombres;1.231
05 Ávila;90 y más años;Mujeres;2.401
06 Badajoz;De 0 a 4 años;Hombres;13.527
06 Badajoz;De 0 a 4 años;Mujeres;12.748
